GenSymb	LAU125_FPKM	LAU355_FPKM	LAU1255_FPKM	LAU1314_FPKM
VAMP3	172.95	29.73	76.53	24.2
PER3	6.08	2.22	4.88	0.99
UTS2	0	1.03	0.88	1.73
TNFRSF9	0.09	3.23	25.06	8.61
EPN3	0.01	0	0	0.01
LTBP1	2.47	0.8	2.42	1.2
DKFZp686K1684	84.42	9.37	94.69	13.75
ELN	0.87	0.01	0	0.01
RFC2	52.61	22.89	25.83	35.09
ARID1B	17.92	29.97	8.7	26.07
CLPTM1L	42.66	68.44	51.59	70.99
NEDD4L	7.01	1.67	21.23	2.03
FOXP3	0.27	3.65	2.59	10.31
PPP1R3F	0.97	1.28	1.06	1.31
HEXB	115.7	51.44	97.93	39.66
PTCD2	7	2.82	5.78	3.41
KIAA2022	0	0.37	0.02	0.24
JKAMP	30.78	18.93	24.64	18.99
DKK3	112.87	0.91	24.85	10.85
ARHGEF5	4.77	1.18	0.92	2.15
NFE2L3	7.13	6.04	7.65	5.85
MCUR1	20.44	9.47	15.94	10.87
LIMA1	45.87	9.05	22.59	13.93
LETMD1	17.44	22.35	17.56	17.02
SLC4A8	0.33	1.5	0.27	2.23
LAMC3	0.48	0.06	0.15	0.03
PTGER3	0.01	0.02	0.01	0.06
TNIP3	0.02	1.75	3.04	3.1
MAPK9	14.06	30.22	14.95	29.93
COL23A1	0.23	0.05	0.03	0.06
BCAR1	4.57	0.04	1.44	0.11
FAM160A2	5.78	9.2	6.54	11.45
HERPUD1	64.47	123.78	144.91	78.11
HOMER3	3.79	1.18	11.21	0.49
RAD51	7.48	6.27	9.56	9.76
POLQ	1.81	1.5	1.52	2.05
PIK3CB	28.42	19.12	23.97	17.56
CYBA	12.18	95.1	31.12	121.36
THOC3	18.51	13.46	19.29	23.26
HEBP2	10.73	22.14	12.51	19.46
MPHOSPH9	9.53	9.05	6.36	10.15
PLEKHA5	50.09	0.88	10.07	1.4
PRSS8	0.16	0.01	0.02	0
SIKE1	23.91	10.48	9.66	13.84
RRP12	2.38	5.36	11.43	4.93
FNIP2	14.54	2.2	21.21	1.56
MSMO1	13.18	7.7	6.45	10.2
TTC17	30.25	55.73	30.57	47.74
ALX4	0.03	0	0.12	0.01
FSTL4	0.78	0.57	0.48	0.84
FOXN3	17.09	42.39	15.48	40.65
METTL24	0.03	0	0	0.02
AKR7A2	42.9	13.98	24.52	15.27
MRTO4	43.8	10.51	13.58	13.79
NNAT	0.12	0.57	0.09	0.67
USE1	15.3	11.69	13.41	13.04
MCF2L2	0.85	0.67	3.02	0.78
NRIP2	1.34	1.67	0.53	1.56
LAMA3	0.04	0.02	0.75	0.1
AP5M1	15.29	17.94	11.69	18.48
ANAPC4	11.78	11.66	9.66	16.53
KCNQ1	0.15	6.58	1.34	5.09
TRAPPC3	40.1	33.5	30.62	30.25
THRAP3	54.01	56.23	52.19	62.06
PHPT1	13.54	13.68	16.46	11.78
ENTPD2	0.01	0	0.03	0
LY75	0.98	26.76	7.2	37.17
ARID4B	15.32	43.51	21.03	45.77
OPN3	45.29	16.07	4.5	22.11
SDCCAG8	32.11	28.86	18.49	27.01
PTPRN	1.09	0.03	0.03	0.13
HHAT	5.22	2.62	4.22	2.6
KIF1B	18.19	2.37	6.38	2.36
FOXC1	1.57	0.15	0.34	0.21
TBC1D22A	3.18	23.88	9.92	24.19
SYNE2	15.61	20.41	20.3	20.09
PLEKHH1	12.7	0.35	2.73	0.42
ATP9A	9.82	0.3	5.51	2.1
SPO11	0	0	0	0
CBLN4	0	0	0	0.04
CHRDL2	0	0	0	0
FAM168A	11.27	5.44	13.24	5.22
RELT	0.67	11	2.81	12.83
GALC	18.04	7.89	10.51	5.45
NOP58	51.45	85.39	110.03	77.89
SZRD1	68.84	51.54	32.12	50.1
KCNH2	0.02	0.36	0.08	0.49
CUL1	31.94	30.02	22.09	32.99
FAM114A2	19.86	15.19	14.65	21.18
CYFIP2	4.17	94.23	19.23	86.72
TAB2	52.32	101.22	46.65	94.06
GINM1	30.89	22.63	15.55	23.93
EIF2AK2	23.28	14.98	22.46	16.47
USP36	4.43	10.91	8.49	8.15
KMT2C	18.35	23.23	10.84	25.44
MCOLN3	15.82	0.14	5.95	2.64
CCDC85A	0.07	1.88	0.1	2.42
PUM2	17.32	41.59	20.21	54.98
MRPL43	11.46	15.68	24.33	19.14
ITIH4	0.38	1.92	1.57	1.85
ITIH1	0.08	0.43	0.23	0.13
HPF1	33.41	20.09	26.09	23.64
ZFR	44.6	33.45	29.71	41.47
ZNF280C	2.07	2.2	1.94	2.2
NPFFR2	0	0.09	0.06	0.03
PHF21B	0.02	0	0	0
TRAF1	0.49	7.37	4.31	8.63
RC3H2	10.06	26.13	12.22	26.07
IL17RB	1.82	1.33	0.83	1.62
TRAF3IP2	52.36	20.96	11.84	23.26
GYG2	88.92	0.05	45.64	0.46
DCBLD2	33.23	2.02	26.5	4.66
SERPINB3	0	0	0	0.02
SOAT1	13.4	19.05	23.71	19.4
PKP2	0.02	0.35	0.06	0.15
MSH4	0.03	0.01	0.02	0.08
F7	0.01	0	0	0.01
GDI2	108.21	239.98	178.51	322.24
PRDM1	1.14	24.35	36.42	23.62
ATG5	16.73	23.96	14.41	22.85
MIR7844	0.1	4.39	1.01	2.74
PITHD1	74.3	31.21	29.74	29.9
MTA3	67.68	17.4	22.59	28.44
USP13	8.52	6.93	11.01	7.11
ATP11B	23.53	67.93	31.14	62.31
LAMC2	0.05	0.01	0.03	0.07
CDK14	26.88	37.38	4.93	36.61
SEC61A1	177.49	82.68	134.14	76.76
PPP1R12A	21.8	23.25	18.26	26.61
RASGRF1	0.14	6.85	1.33	1.66
CAMK2B	0.06	0.56	0.04	0.93
CROCC	2.05	1.89	1.4	1.65
POLR3E	4.33	6.51	4.36	7.76
ATP2B4	24.13	18.05	27.17	20.57
ZC3H11A	35.01	61.23	35.87	59.5
RIOK2	32.09	32.89	33.09	34.21
YIPF1	25.22	18.8	19.1	22.74
NDC1	14.22	10.61	6.3	19.94
DGKG	2.56	6.07	2.14	1.91
FLYWCH1	1.48	1.34	1.77	1.39
UNKL	0.86	1.79	0.92	1.81
TBXAS1	6.37	25.42	15.1	12.58
PARP12	3.4	16.23	12.62	16.95
ALDH18A1	30.15	22.65	16.99	24.45
TARBP1	7.71	10.72	8.84	11.21
GATB	16.03	10.5	14.31	9.25
MXD1	2.82	5.08	7.98	3.52
CDK17	17.25	19.84	11.28	21.24
DNAJC25	6.61	8.52	3.58	4.72
SLC2A3	96.19	240.97	123.76	109.2
PSD	0.05	0.68	0.58	0.31
CTDP1	0.93	2.96	1.95	3.13
YBX3	27.42	18.55	15.11	14.7
STYK1	0	0.17	0.1	0.26
WNK1	43.27	47.82	35.67	57.72
CCAR1	21.23	21.61	21.59	33.35
OGFR	5.66	11.34	8.88	14.46
GNA15	0.36	3.36	3.63	2.35
CREB3L3	0	0.05	0.04	0.11
PIGV	4.53	3.73	6.24	6.09
PTPRU	2.29	0.03	16.51	0.2
SNRNP40	26.51	22.41	16.35	27.53
RIMBP2	0.01	0.06	0.01	0.01
COL11A1	49.23	0.01	21.22	0.31
QSER1	13.29	4.76	5.8	5.5
MPC1	42.65	23.19	18.98	23.27
ACAA1	29.76	28.37	31.2	22.85
BCAT1	0.3	1.47	1.5	3.37
HDAC7	6.51	20.21	8.72	20.86
LZTS1	26.64	0.05	5.48	0.67
PRDM6	0	0	0.01	0.02
WNT8A	0	0.06	0	0
SPAG4	9.76	0.93	1.41	0.38
NCKAP1	51.08	0.59	24.15	2.03
MRPS35	33.15	26.02	18.56	24.47
GUCY1B3	0.35	1.13	0.54	1.16
SFSWAP	10.05	11.09	8.09	11.68
TNK2	3.21	23.84	12.26	19.02
MON2	12.98	9.81	6.65	10.6
CDH3	4.16	0.03	11.79	0.18
ARSF	0	0.02	0	0.03
GPBP1	39.07	62.89	38.49	63.29
DGAT2	0.78	5.37	3.93	3.96
ZNF112	1.4	0.13	0.88	0.25
CS	69.95	52.78	53.01	59.18
LTK	0.51	0.59	0.12	0.32
MRPS24	45.26	21.35	25.37	23.01
ELMO2	25	21.75	19.63	25.95
WAPL	10.17	21.05	15.31	25.67
MIR21	75.52	23.51	42.56	29.3
APPBP2	14.14	7.7	4.89	7.45
POLD1	0.65	1.03	1.34	1.77
SEZ6	0.01	0.03	0.01	0.05
EIF4B	266.51	330.51	246.19	327.04
SLC6A16	0.66	1.23	0.54	1.07
GLTSCR1	0.51	1.16	0.58	1.09
SPHK2	1.01	1.44	1.1	1.68
RPL18	343.76	1101.75	413.6	992.02
CA11	2.14	4.32	7.22	4.03
ISOC2	8.71	4.68	5.27	4.64
U2AF2	20.22	39.74	24.68	43.67
EPN1	6.24	7.03	8.22	7.91
MED29	21.41	14.87	13.33	15.61
AHRR	0.27	0.13	0.23	0.11
GSC2	0	0	0	0
LOC105373378	4.45	6.37	1.95	7.27
MTMR1	19.29	37.65	13.28	42.48
GPC1	4.4	0.17	0.6	0.22
ADCK1	3.86	2.02	2.03	1.82
HAGH	7.84	12.12	15.36	12.98
RNF4	21.96	60.49	25.66	55.1
CASP8	16.66	46.73	44.85	53.31
LIMCH1	5.52	0.76	2.71	0.42
ASUN	32.15	12.51	17.7	15.11
TM7SF3	59.65	11.06	32.99	13.87
DLX3	0.09	0.02	0.04	0
SPA17	3.58	1.64	1.27	2.55
TSPAN32	0.19	2.31	0.35	1.36
WISP2	0.74	0.05	0.46	0.04
DMRT3	0	0	0	0
ST3GAL6	185.19	1.67	78.82	2.07
ATP2C2	0.26	0.01	0.05	0.01
NGFR	1.1	0.1	2.49	0.67
CDON	4.24	0.28	2.4	0.14
TAF2	22.34	12.56	8.94	19.11
HIPK2	28.49	8.65	10.92	7.02
TNPO3	20.25	17.66	13.34	18.35
BORCS8-MEF2B	1.77	7.77	2.17	23.68
RFXANK	8.95	16.19	12.1	14.77
TMEM161A	1.66	1.46	2.26	2.3
LPAR2	0.6	3.14	1.56	3.37
CTSA	55.75	75.33	123.77	61.16
SUGP2	8.53	8.82	6.75	9.9
SLC12A2	7.22	5.72	5.77	9.57
SNX24	18.09	4.68	14.75	2.05
EYA2	0.31	0.7	0.43	0.9
CNN2	14.49	106.29	28.09	115.79
ABCA7	0.92	11.7	3.98	6.74
SNCAIP	0.16	0.01	0	0.02
DDX20	3.41	10.08	7.16	10.62
BTBD1	27.65	30.51	18.87	34.13
FAR2	14.82	1.32	10.15	1.34
BCAS1	4.14	2.02	1.29	2.24
POU1F1	0.02	0	0.02	0.04
CHI3L2	2.55	77.47	17.56	110.02
SBNO2	2.55	4.48	3.45	4.92
PMS1	20.42	16.14	14.38	16.28
HMG20B	68.11	10.67	49.18	12.89
CALCRL	0.15	0.35	0.59	0.99
TAF11	25.23	16.44	13.98	17.77
ANKS1A	13.76	1.85	18.5	2.61
AP3D1	17.74	12.85	17.43	13.28
ZNF76	5.23	15.63	8.3	13.16
SLC9A3R2	0.56	0.09	0.28	0.14
NTHL1	1.37	1.27	1.91	1.58
UHRF1BP1	4.42	3.78	3.68	4.3
GNAI3	16.8	27.57	27.65	32.43
IPO5	57.46	44.41	22.18	55.88
OAT	69.03	23.06	50.51	28.39
WDR3	74.19	13.42	13.44	17.86
PKN2	50.42	16.28	13.66	13.99
WDR18	1.57	1.52	1.57	2.23
TRAM2	8.59	4.33	5.38	2.8
NTN1	0.01	0.07	0.44	0.08
GLP2R	0.01	0.02	0	0.01
MCM10	2.7	0.73	2.96	4.07
DGKA	3.19	64.68	15.97	53.82
ERBB3	240.56	0.12	78.12	0.94
ROPN1	1.48	0.01	27.2	0.17
ANKRD44	12.07	54.03	22.29	51.79
KARS	107.39	94.27	93.96	102.86
ADAT1	10.07	7.66	6.94	7.53
MIR7110	14.61	2.78	11.49	6.37
TBC1D22B	5.27	7.1	5.7	6.59
NDUFB4	63.61	54.06	103.87	59.23
SPEN	37.13	41.63	21.32	36.08
MYLK	6.9	0.69	9.57	0.54
ZC3H15	44.54	60.1	50.06	58.54
MAP2K4	13.04	10.25	4.88	11.13
TMEM206	5.96	12.2	7.16	12.36
SNAP91	0	0.13	0	0.01
SLK	18.04	17.23	15.53	12.66
CYB5R4	3.6	33.87	10.17	27.6
MIR936	0	0.01	0	0.08
GSTO2	0	0.43	0.54	0.34
SEC61A2	3.99	2.22	2.37	2.45
PRKCQ	0.14	11.59	5.7	9.58
TLE2	8.14	0.79	0.13	0.36
ASB1	6.85	18.92	6.92	18.06
FAM107B	8.08	248.83	70.73	343.15
ME1	1.11	1.51	0.96	0.26
TBC1D1	27.83	78.54	23.95	94.05
CDK13	15.19	23.47	10.85	27.25
MTHFD2	16.15	24.84	47.33	42.4
SLC9A7	0.58	14.82	4.3	14.01
FOXJ2	5.81	11.18	6.57	10.48
YBX1	472.79	489.64	501.64	509.07
PDE4A	0.9	1.56	1.86	1.54
PPP2R5A	24.44	29.28	17.53	30.21
CTNNA2	2.08	0.01	0.1	0.06
ELAVL1	10.91	11.19	8.09	14.77
TIE1	3.95	0.42	0.21	0.39
DIP2B	18.2	13.27	10.63	14.16
SMARCD1	20.33	29.53	20.4	28.43
KDM4A	15.28	17.57	10.35	16.23
NFYC	37.11	46.8	30.56	54.15
ZMYND12	8.17	0.33	3.08	0.11
SLC9A3	0.1	0.07	0.12	0.03
NGEF	0.01	0.03	0.04	0.05
ASPM	7.95	1.53	3.02	4.54
CD84	0.84	32.79	15.11	25.65
MIR6734	32.52	40.67	54.35	44.78
SPI1	0.86	25.38	11.15	28.61
ZNRD1	8.34	20.36	14	19.43
MPPED2	7.2	0.54	4.41	1.88
CLDN18	0.05	0	0.01	0
ZBTB11	7.42	11.1	8.22	13.8
ATXN3	9.03	9.55	9.86	10.41
GOLGA5	29.37	20.28	23.78	18.61
FGFR2	0.02	0.32	0.12	0.52
LRRC40	10.35	7.47	4.39	9.71
ISOC1	5.55	7.23	7.89	9.7
EML1	2.38	0.07	0.02	0.01
TRMT11	12.58	6.18	4.6	7.87
THUMPD1	15.15	23.24	17.09	20.52
MSANTD3	10.23	7.24	9.38	8.4
KIF26A	0.01	0.01	0.03	0
ATG2B	7.66	6.23	3.84	6.47
ARFGEF1	25.49	21.3	17.18	29.87
ACSM2B	0	0	0	0
ZFAT	6.99	11.55	3.5	13.19
MTFR1	19.64	16.47	13.85	16.39
STAG3	3.03	34.39	4.84	56.98
FECH	13.5	6.98	7.37	5.03
MYO9A	6.92	7.34	4.05	7.34
DDX3Y	87.35	1.16	60.49	86.3
PFKP	23.66	16.48	32.07	20.29
IDI1	26.75	50.87	43.4	44.27
SP100	57.31	180.82	64.5	161.48
KLF6	87.74	700.63	487.61	519.32
PLPP1	17.03	6.46	10.84	4.66
NEO1	7.76	2.47	10.44	2.95
TRAM1	214.89	160.58	143.25	171.83
PHKA1	2.83	0.27	4.14	0.11
TNFRSF1A	38.32	11.2	23.01	8.25
CACNB1	0.45	0.44	0.8	1.16
EVI5	6.43	3.59	5.75	4.59
STOML1	1.94	1.48	1.13	1.38
PKM	536.15	235.76	513.47	301.99
DHX29	9.69	8.02	8.21	9.93
DNTTIP2	29.63	57.71	62.59	50.55
METTL22	2.94	4.21	2.3	3.04
TP53BP1	26.71	13.76	19.45	17.82
TRO	15.06	0.67	5.35	1.52
RRP15	14.1	7.46	9.52	9.18
RHOA	414.83	444.61	525.21	505.99
DHX8	12.87	14.1	11.1	17.4
PRKCZ	28.63	11.7	9.32	12.58
ZFY	11.24	0.05	5.55	11.87
IARS2	107.14	48.27	36.72	53.22
SYT1	0.09	0.74	0.68	1.08
NAV3	2.38	0.01	1.1	0.01
IDH3G	32.7	41.67	29.43	46.6
ROGDI	2.55	1.9	4.13	2.04
PDZD4	6.69	1.09	1.27	1.39
ATP2B3	0.22	0	0.01	0.01
ROCK1	16.64	32.82	16.79	38.97
CBFB	24.67	35.59	18.69	50.96
PDK3	13.57	9.64	4.31	7.19
HYAL2	9.68	1.12	9.19	1.44
HDAC4	2.21	2.17	1.16	1.9
RASSF1	3.33	14.43	7.19	12.2
FGFR3	0.07	0	0.05	0.01
IFI35	9.05	15.3	37.15	16.58
HEATR6	6.24	6.89	4.1	5.16
COASY	12.29	14.73	10.61	14.88
PLEKHH3	0.52	0.04	0.55	0.08
MEF2A	39.74	29.23	12.25	27.78
OTUD5	24.64	54.44	34.18	51.64
TFE3	8.19	10.82	10.06	10.02
TBC1D25	3.5	11.26	8.5	11.32
ACSL4	13.4	19.99	16.16	24.05
INPP5A	3.93	5.05	5.69	6.16
GPKOW	7.63	7.73	7.93	10.28
GRIPAP1	8.27	18.98	15.64	18.74
FTSJ1	12.18	22.03	15.44	19.4
PRR11	21.78	5.68	7.45	8.95
REEP1	0.02	0.07	0.02	0.02
ATP11A	3.05	6.63	4.54	6.56
POLR1A	10.18	5.46	8.38	6.79
LAPTM4A	157.81	124.65	379.45	114.09
TTC7A	1.17	20.32	7.12	26.77
IP6K2	25.2	27.84	30.74	35.1
STON1-GTF2A1L	1.11	0.12	1.02	0.06
SRBD1	10.24	12.08	7.88	11.63
KIF2A	28.25	42.03	27.14	47.4
RASGRP2	0.67	62.09	12.99	59.3
PSME4	10.43	22.53	11.03	28.26
IFT80	31.93	11.48	15.56	9.05
SIRT2	29.43	19.05	23.8	18.16
ERLEC1	59.19	25.78	37.32	30.34
PPP2R5B	22.96	6.12	3.19	5.7
PYGM	0.49	2.05	0.2	0.74
PAGE1	0	0	0	0
PITX1	0	0	0	0.15
TRPC7	0	0.01	0	0
MAST4	1.8	5.7	1.36	3.89
ADGRF5	0.13	0	0.1	0.01
SDK2	0.49	0.04	0.09	3.12
ADAM7	0.03	0	0	0.03
NUP133	26.92	13.75	13.6	16.99
NUCKS1	206.01	150.59	129.49	187.62
VPS35	35.6	24.4	28.68	30.05
DNAJA2	30.42	21.97	22.25	26.31
MIR8085	2.83	10.12	4.75	6.13
KCNAB2	4.56	35.38	49.56	34.94
ABCC9	19.26	5.21	2.72	4.01
GAL	0	0	0.03	0
CLEC2D	6.34	113.86	44.36	106.84
FUNDC1	24.17	15.53	12.11	15.27
MAOB	0.18	0.2	1.72	1.39
RORA	1.22	7.53	4.95	4.68
DRD4	0	0.01	0	0.02
TGFBR3	8.96	2.96	9.01	5
KIAA1107	0.16	0.54	0.25	0.54
PLA2G10	0.07	0.17	0	0.05
HES2	0.74	0.18	0.11	0.13
ATP1B3	183.28	39.2	120.56	56.75
NEDD4	84.12	130.6	75.97	103.43
PIGB	10.59	7.21	6.77	7.89
MAPK6	17.87	12.79	15.61	13.17
GNB5	2.57	11.36	5.64	14.48
RAB27A	42.68	27.27	60.05	33.85
CECR5	4.17	7.22	4.99	8.34
UFD1L	16	35.31	42.21	37.97
LRP6	7.98	0.48	3.68	0.53
GUCY2C	0.08	0.41	0.03	0.59
SCT	0	0	0	0.07
PHRF1	2.51	4.83	3.65	4.87
IKBKAP	13.71	10.69	5.11	10.43
LOC105376575	60.55	50.02	49.59	51.27
PFN2	73.19	2.41	145.4	3.67
PTPN3	0.48	0.18	0.85	0.59
MIR7855	0.05	0.06	0.5	0.02
DAPP1	0.91	40.98	5.89	49.16
FGF10	0	0	0	0
SLC44A1	21.31	11.55	8.67	15.64
TMEM260	5.93	6.07	3.98	6.82
SMG6	10.9	8.75	5.24	8.4
EXOC5	12.95	9.58	8.34	12.67
CLTCL1	0.26	0.15	1.42	0.05
FGF22	0	0	0.04	0
FSTL3	17.59	0.36	3.16	0.46
DGCR2	8.58	13.16	12.48	14.88
RNF126	2.07	6.94	4.16	5.67
MNT	2.33	2.34	1.82	2.42
ZXDC	4.72	10.98	6.86	10.33
JMJD6	14.53	13.98	26.6	15.4
POLB	66.62	22.45	14.33	22
ST6GALNAC1	0	0.78	0.62	0.29
WIPI1	21.86	2.64	41.85	3.29
FRMPD1	0	0.04	0.02	0.01
GBA2	12.48	23.33	13.71	24.78
NDST1	10.6	2.54	9.92	1.65
ASNS	14.07	11.76	6.53	17.73
AP3M2	80.18	8.27	9.95	6.89
CNGB1	0	0.01	0	0
ST6GALNAC2	100.23	0.33	19.63	0.6
CHAT	0	0	0.04	0
MIR7705	2728.09	3026.41	3281.27	2669.65
TESK2	2.46	6.41	2.36	8.48
CFAP20	45.4	21.45	38.06	22.52
CSNK2A2	24.11	20.89	26.49	20.69
PTPN21	0.43	0.01	1.56	0.01
EIF2B3	14.93	12.19	10.15	14.25
CAMK2A	0.1	0.05	0.19	0.11
TCOF1	9.55	14.81	15.64	16.84
CDC42	432.24	278.73	216.79	307.98
OSBPL3	1.19	19.81	18.52	14.27
EPHA8	0.07	0.01	0.01	0
SLC12A3	0.01	1.59	0.38	0.98
RAD18	9.22	8.52	10.71	10.38
ATP2B1	25.84	24.45	9.2	26.3
TRPM5	0.01	0	0	0
NCK2	35.28	39.97	25.46	31.43
MAP4K4	113.98	113.14	42.16	130.17
MGAT4A	11.87	28.95	15.39	18.39
RPL31	810.49	2161.8	1118.47	1924.02
WDR1	295.02	263.96	291.05	318.19
SNX13	28.81	15.57	9.66	17.03
MS4A12	0.24	0	0	0
ARHGAP10	3.49	2.52	3.2	2.51
RPS6KA2	8.82	5.45	2.21	4.38
ING3	9.21	22.51	8.36	20.97
VASH1	1.82	1.55	2.32	1.91
LMCD1	57.34	2.35	11.88	2.46
WBSCR22	111.58	66.72	52.21	64.67
SEL1L	42.65	15.72	28.51	17.63
TRIP13	7.49	2.22	6.5	4.92
ATP6AP1	37.73	33.38	60.78	30.01
TCF3	3.09	12.66	4.78	18.73
TRIB2	83.17	18.27	73.03	20.54
DAZAP1	28.45	57.55	31.32	62.67
MBD3	1.97	2.35	1.82	2.79
PRLH	0	0	0	0
HLTF	34.48	9.73	14.92	12.23
FAM50A	31.58	26.88	43.76	20.68
FAM3A	6.36	6.56	7.68	6.13
MIR939	8.2	15.1	14.96	12.2
MYO3B	0.23	0.98	0.04	1.76
CYBRD1	1.1	3.46	23.69	3.35
CDH19	66.12	0.02	8.89	0.84
PDCD2	18.29	31.15	12.14	35.1
SLC6A15	3.64	0.09	14.79	0.12
RDH11	76.64	18.93	35.89	20.37
PRKACA	27.7	20.21	22.48	22.45
ADGRL1	1.57	0.59	0.94	0.46
SPP2	6.46	13.6	6.78	13.23
ACTN1	47.99	14.04	51.2	7.86
ZFYVE26	6.46	4.64	5.12	4.44
RPS6KA6	0.02	0.87	0	0.36
EPN2	7.82	2.45	2.88	2.2
PTPN18	14.73	81.16	35.7	103.94
LIMS2	1.54	2.51	7.43	6.37
ASIC4	0.08	0	0.03	0.02
LOC100996693	0.64	0.27	0.38	0.42
LNX1	1.27	1.49	0.5	1.24
ALDH3A2	22.8	9.84	12.93	11.14
TFRC	27.96	46.08	51.75	34.19
SREBF1	21.48	16.6	22.07	11.45
TRPC5	0	0.01	0.01	0
AFF4	44.55	23.89	24.3	24.76
UBE2D1	9.89	13.6	10.85	14.68
MPP5	10.42	4.95	5.16	4.03
RHOBTB1	15.9	0.4	1.84	0.7
SMC1A	56.11	54.54	26.56	61.09
HSD17B10	42.39	41.58	44.33	41.33
MARK2	8.74	24.37	11.27	25.32
HMMR	21.2	6.6	6.59	17.72
CHFR	3.56	9.82	4.54	9.98
TRHDE	0	0.01	0	0
P4HA2	25.4	0.51	15.23	2.48
FCGR2B	8.89	41.37	12.66	57.47
NFATC3	13.88	44.82	14.68	47.53
TRNT1	8.87	7.33	8.41	10.96
ACADVL	44.33	28.54	28.72	24.75
STK10	43.51	112.03	52.19	96.02
FBXW11	34.7	26.78	19.62	30.62
ACAP1	0.51	36.24	10.16	38.01
CRMP1	2.42	0.25	1.35	0.32
EVC	9.95	0.52	7.25	0.67
DERL2	7.24	6.39	4.92	7.17
SIDT1	1.6	45.55	7.85	35.24
NDE1	20.26	23.73	13.25	27.88
MRVI1	0.61	0.34	0.06	0.26
TMEM38A	0.59	2	0.29	1.96
AP1M1	11.18	16.79	11.39	18.44
PVR	6.82	1.04	8.03	0.59
XRCC1	12.87	15.38	13.55	17.13
SCARB1	47.75	6.04	36.41	9.06
CYP2W1	0	0.02	0.01	0.06
MCM2	8.19	8.75	7.03	15.45
MOV10L1	0.07	0.1	0.03	0.07
PANX2	0.04	0.03	0.04	0.01
SELENOO	0.35	1.52	1.21	1.77
TP63	0.03	1.06	0.56	0.67
ALPK1	6.26	5.79	7	7.26
LLGL2	0.09	1.37	0.71	1.71
PDE8A	12.92	5.6	4.63	5.83
CLCN4	2.14	2.82	0.54	3.61
NLE1	5.14	4.13	3.83	5.1
SDHA	87.64	58.2	76.8	64.72
SMARCE1	128.99	117.75	66.82	113.68
FNDC8	0.32	0.59	0.06	0.42
GSDMB	0.84	6.07	2.68	4.48
KDM5A	13.56	28.57	10.41	31.41
ADAM11	0.12	0.02	0.14	0
PPP2R3A	6.83	0.2	4.33	0.31
FERMT2	73.08	0.1	13.36	0.14
ABCB11	0.01	0.01	0.02	0.04
DHRS9	0.22	4.46	2.1	8.9
CD5L	0.02	14.49	0.67	0.11
PTGS2	2.73	10.11	8.26	4.58
IGF2BP2	1	0.78	5.11	0.62
MAP3K13	38.62	10.01	29.39	10.12
ST6GAL1	70.11	250.94	68.8	271.73
TBX21	0.12	4.16	3.72	3.25
FRY	2.14	0.93	0.83	1.99
PICALM	217.37	93.79	248.46	92.42
NSF	23.18	16.13	10.44	16.06
GLI2	0.04	0	0.01	0
CLASP1	21.95	20.26	12.07	18.27
MRPS34	11.71	11.19	11.85	14.16
NOTCH3	2.5	0.36	0.14	0.39
CLNS1A	193.43	157.57	344.3	174.26
PPP2R2C	0.04	0.18	0	0.07
TEAD2	9.35	2.3	7.69	1.13
MIR6755	6.99	9.18	11.09	13.95
CDHR2	0.46	0.08	0.37	0.11
SNCB	3.9	0	0.51	0.02
TSG101	66.46	45.28	69.13	55.37
NCBP3	8.87	11.44	5.32	13.81
ATP2A3	0.75	57.88	7.44	63.04
CA12	32.62	0.01	0.15	0.85
MGLL	2	4.18	4.36	5.63
NTN4	0.35	0.11	1.96	0.1
BCS1L	18.38	14.86	16.7	12.2
NUAK1	0.02	0.04	0.35	0.05
DPP8	9.55	19.07	8.15	17.29
SLC24A1	5.27	1.78	2.46	1.75
ZNF532	17.81	7.35	1.69	6.41
SCARF1	0.12	0.67	0.57	0.45
LMAN1	49.62	22.84	33.77	26.59
HACD3	54.38	11.06	39.84	12.99
IPCEF1	1.69	19.25	7.07	15.86
ZZEF1	5.25	11.92	4.51	11.42
NOX3	0	0	0	0
ENO1	1751.16	355.97	644.22	420.28
SLC12A1	0.06	0.01	0	0
MYDGF	30.43	24.45	36.52	24.1
ANO8	0.44	0.49	0.59	0.32
TUBE1	6.44	9.71	4.31	10.35
ARHGEF10L	3.59	0.44	2.75	0.2
TXK	0.55	14.28	2.86	7.86
WSCD2	0.01	0.37	0	0.1
KCNQ2	0	0	0.03	0
TACR2	0.74	0.47	1.03	0.18
ACTR6	15.19	11.59	8.09	13.4
TIPIN	8.27	6.52	5.22	10.42
SRI	141.51	83.23	71.75	80.78
EIF4G3	68.54	36.94	22.53	38.12
NUP37	16.86	14.54	10.72	17.39
SEMA3A	0.97	0.18	0.86	0.59
GTSE1	3.43	1.84	2.57	5.01
SEMA3C	37.69	1.06	12.94	1.25
TTC38	6.16	5.43	6.76	6.36
ACAT1	84.8	18.3	46	24.07
GRAMD4	3.8	9.14	9.46	12.33
CELSR1	3.1	7.66	3.36	4.61
WNT8B	0.02	0.05	0.03	0.05
ZNF638	50.74	57.56	46.23	62.71
SLC25A40	18.24	11.32	8.69	13.11
TIMM21	24.5	7	10.66	8.47
ADD2	0.17	2.96	0.58	3.38
FGF4	0	0	0	0
RASAL2	8.37	0.25	6.39	0.14
VPS9D1	1.38	1.55	2.33	1.36
ZNF37A	4.17	4.85	4.11	6.37
MARK3	24.55	20.68	16.87	20.08
